,"DE","A23","Adlitz","Adlitz","BY","--3-----","RL","1001",,"4949N 01126E",
,"DE","ADV","Adlkofen","Adlkofen","BY","--3-----","RL","1001",,"4833N 01216E",
,"DE","ADW","Admannshagen-Bargeshagen","Admannshagen-Bargeshagen","MV","--3-----","RL","1001",,"5407N 01159E",
,"DE","AOD","Adorf","Adorf","SN","-----6--","RL","0901",,"5019N 01216E",
,"DE","AZH","Adrazhofen","Adrazhofen","BW","--3-----","RL","1301",,"4749N 01004E",
,"DE","AEF","Aebtissinwisch","Aebtissinwisch","SH","--3-----","RL","1001",,"5358N 00917E",
,"DE","AER","Aerzen","Aerzen","NI","--3-----","AF","9501",,,
,"DE","AFB","Affalterbach","Affalterbach","BW","--3-----","RQ","0901",,"4855N 00919E",
,"DE","AFF","Affalterbach","Affalterbach","BY","--3-----","RL","0201",,"4937N 01112E",
,"DE","AQG","Affing","Affing","BY","-----6--","RL","0901",,"4828N 01059E",
,"DE","AFH","Affinghausen","Affinghausen","NI","--3-----","RL","1001",,"5247N 00853E",
,"DE","AFR","Affler","Affler","RP","--3-----","RL","1001",,"5001N 00609E",
,"DE","AFO","Aftholderbach","Aftholderbach","RP","--3-----","RL","1001",,"5013N 00751E",
,"DE","AGA","Agathenburg","Agathenburg","NI","--3-----","RL","1001",,"5334N 00932E",
,"DE","AGO","Agethorst","Agethorst","SH","--3-----","RL","1001",,"5401N 00926E",
,"DE","AGX","Aglasterhausen","Aglasterhausen","BW","--3-----","RL","1207",,"4921N 00859E",
,"DE","AH2","Aham","Aham","BY","--3-----","RL","1001",,"4832N 01228E",
,"DE","AHA","Ahaus","Ahaus","NW","-23-----","AF","9501",,,
,"DE","AH3","Ahausen","Ahausen","NI","--3-----","RL","1001",,"5304N 00919E",
,"DE","AHC","Ahlbeck","Ahlbeck","MV","1-3-----","RL","1807",,"5340N 01412E",""
,"DE","ADZ","Ahlden","Ahlden","NI","-----6--","RL","0901",,"5246N 00933E",
,"DE","AQH","Ahlefeld-Bistensee","Ahlefeld-Bistensee","SH","-----6--","RL","0901",,"5424N 00940E",
,"DE","AHL","Ahlen","Ahlen","NW","-23-----","AF","0212",,"5145N 00755E",
,"DE","AH6","Ahlerstedt","Ahlerstedt","NI","--3-----","RL","1001",,"5324N 00927E",
,"DE","AHO","Ahlhorn","Ahlhorn","NI","1-3-----","RQ","0901",,,
,"DE","AH7","Ahlsdorf","Ahlsdorf","BB","--3-----","RL","1307",,"5150N 01313E",""
,"DE","AH8","Ahlsdorf","Ahlsdorf","ST","--3-----","RL","1001",,"5133N 01128E",
,"DE","AH4","Ahlst
,"DE","AH5","Ahlum","Ahlum","ST","--3-----","RL","1001",,"5241N 01100E",
,"DE","AHG","Ahnatal","Ahnatal","HE","--3-----","RL","1001",,"5121N 00923E",
,"DE","AHI","Ahneby","Ahneby","SH","--3-----","RL","1001",,"5443N 00944E",
